 # polygon info for background plasma written by write_bgplasma in module_bgplasma.f90
 npolyp
         7206
    idx     in             R1             R2             R3             R4             Z1             Z2             Z3             Z4
      0      1    0.11292E+01    0.11227E+01    0.11239E+01    0.11302E+01   -0.13388E+01   -0.13322E+01   -0.13324E+01   -0.13390E+01
      1      2    0.11302E+01    0.11239E+01    0.11254E+01    0.11314E+01   -0.13390E+01   -0.13324E+01   -0.13327E+01   -0.13393E+01
      2      3    0.11314E+01    0.11254E+01    0.11271E+01    0.11328E+01   -0.13393E+01   -0.13327E+01   -0.13330E+01   -0.13396E+01
      3      4    0.11328E+01    0.11271E+01    0.11290E+01    0.11344E+01   -0.13396E+01   -0.13330E+01   -0.13334E+01   -0.13399E+01
      4      5    0.11344E+01    0.11290E+01    0.11309E+01    0.11360E+01   -0.13399E+01   -0.13334E+01   -0.13338E+01   -0.13403E+01
      5      6    0.11360E+01    0.11309E+01    0.11329E+01    0.11377E+01   -0.13403E+01   -0.13338E+01   -0.13342E+01   -0.13407E+01
      6      7    0.11377E+01    0.11329E+01    0.11351E+01    0.11396E+01   -0.13407E+01   -0.13342E+01   -0.13347E+01   -0.13411E+01
      7      8    0.11396E+01    0.11351E+01    0.11375E+01    0.11415E+01   -0.13411E+01   -0.13347E+01   -0.13352E+01   -0.13416E+01
      8      9    0.11415E+01    0.11375E+01    0.11401E+01    0.11438E+01   -0.13416E+01   -0.13352E+01   -0.13358E+01   -0.13421E+01
      9     10    0.11438E+01    0.11401E+01    0.11434E+01    0.11463E+01   -0.13421E+01   -0.13358E+01   -0.13366E+01   -0.13427E+01
     10     11    0.11463E+01    0.11434E+01    0.11476E+01    0.11496E+01   -0.13427E+01   -0.13366E+01   -0.13376E+01   -0.13436E+01
     11     12    0.11496E+01    0.11476E+01    0.11537E+01    0.11541E+01   -0.13436E+01   -0.13376E+01   -0.13391E+01   -0.13447E+01
     12     13    0.11541E+01    0.11537E+01    0.11617E+01    0.11605E+01   -0.13447E+01   -0.13391E+01   -0.13413E+01   -0.13465E+01
     13     14    0.11605E+01    0.11617E+01    0.11705E+01    0.11682E+01   -0.13465E+01   -0.13413E+01   -0.13438E+01   -0.13488E+01
     14     15    0.11682E+01    0.11705E+01    0.11788E+01    0.11755E+01   -0.13488E+01   -0.13438E+01   -0.13464E+01   -0.13511E+01
     15     16    0.11755E+01    0.11788E+01    0.11861E+01    0.11815E+01   -0.13511E+01   -0.13464E+01   -0.13488E+01   -0.13530E+01
     16     17    0.11815E+01    0.11861E+01    0.11920E+01    0.11855E+01   -0.13530E+01   -0.13488E+01   -0.13509E+01   -0.13544E+01
     17     18    0.11855E+01    0.11920E+01    0.11965E+01    0.11882E+01   -0.13544E+01   -0.13509E+01   -0.13525E+01   -0.13554E+01
     18     19    0.11882E+01    0.11965E+01    0.11997E+01    0.11902E+01   -0.13554E+01   -0.13525E+01   -0.13537E+01   -0.13561E+01
     19     20    0.11902E+01    0.11997E+01    0.12021E+01    0.11918E+01   -0.13561E+01   -0.13537E+01   -0.13546E+01   -0.13567E+01
     20     21    0.15365E+01    0.15337E+01    0.15315E+01    0.15343E+01   -0.58541E+00   -0.59304E+00   -0.59221E+00   -0.58459E+00
     21     22    0.15343E+01    0.15315E+01    0.15290E+01    0.15318E+01   -0.58459E+00   -0.59221E+00   -0.59126E+00   -0.58366E+00
     22     23    0.15318E+01    0.15290E+01    0.15258E+01    0.15287E+01   -0.58366E+00   -0.59126E+00   -0.59000E+00   -0.58243E+00
     23     24    0.15287E+01    0.15258E+01    0.15188E+01    0.15220E+01   -0.58243E+00   -0.59000E+00   -0.58707E+00   -0.57965E+00
     24     25    0.15220E+01    0.15188E+01    0.15072E+01    0.15108E+01   -0.57965E+00   -0.58707E+00   -0.58166E+00   -0.57445E+00
     25     26    0.15108E+01    0.15072E+01    0.14905E+01    0.14945E+01   -0.57445E+00   -0.58166E+00   -0.57266E+00   -0.56578E+00
     26     27    0.14945E+01    0.14905E+01    0.14685E+01    0.14730E+01   -0.56578E+00   -0.57266E+00   -0.55843E+00   -0.55206E+00
     27     28    0.14730E+01    0.14685E+01    0.14416E+01    0.14466E+01   -0.55206E+00   -0.55843E+00   -0.53699E+00   -0.53132E+00
     28     29    0.14466E+01    0.14416E+01    0.14113E+01    0.14166E+01   -0.53132E+00   -0.53699E+00   -0.50663E+00   -0.50182E+00
     29     30    0.14166E+01    0.14113E+01    0.13797E+01    0.13852E+01   -0.50182E+00   -0.50663E+00   -0.46646E+00   -0.46257E+00
     30     31    0.13852E+01    0.13797E+01    0.13490E+01    0.13546E+01   -0.46257E+00   -0.46646E+00   -0.41668E+00   -0.41365E+00
     31     32    0.13546E+01    0.13490E+01    0.13210E+01    0.13265E+01   -0.41365E+00   -0.41668E+00   -0.35811E+00   -0.35581E+00
     32     33    0.13265E+01    0.13210E+01    0.12967E+01    0.13020E+01   -0.35581E+00   -0.35811E+00   -0.29144E+00   -0.28977E+00
     33     34    0.13020E+01    0.12967E+01    0.12769E+01    0.12819E+01   -0.28977E+00   -0.29144E+00   -0.21759E+00   -0.21643E+00
     34     35    0.12819E+01    0.12769E+01    0.12620E+01    0.12670E+01   -0.21643E+00   -0.21759E+00   -0.13780E+00   -0.13707E+00
     35     36    0.12670E+01    0.12620E+01    0.12528E+01    0.12576E+01   -0.13707E+00   -0.13780E+00   -0.53880E-01   -0.53519E-01
     36     37    0.12576E+01    0.12528E+01    0.12495E+01    0.12544E+01   -0.53519E-01   -0.53880E-01    0.32365E-01    0.32363E-01
     37     38    0.12544E+01    0.12495E+01    0.12529E+01    0.12578E+01    0.32363E-01    0.32365E-01    0.11972E+00    0.11933E+00
     38     39    0.12578E+01    0.12529E+01    0.12635E+01    0.12685E+01    0.11933E+00    0.11972E+00    0.20714E+00    0.20629E+00
     39     40    0.12685E+01    0.12635E+01    0.12820E+01    0.12872E+01    0.20629E+00    0.20714E+00    0.29303E+00    0.29162E+00
     40     41    0.12872E+01    0.12820E+01    0.13091E+01    0.13144E+01    0.29162E+00    0.29303E+00    0.37490E+00    0.37276E+00
     41     42    0.13144E+01    0.13091E+01    0.13442E+01    0.13496E+01    0.37276E+00    0.37490E+00    0.44899E+00    0.44595E+00
     42     43    0.13496E+01    0.13442E+01    0.13854E+01    0.13906E+01    0.44595E+00    0.44899E+00    0.51091E+00    0.50683E+00
     43     44    0.13906E+01    0.13854E+01    0.14285E+01    0.14332E+01    0.50683E+00    0.51091E+00    0.55790E+00    0.55282E+00
     44     45    0.14332E+01    0.14285E+01    0.14699E+01    0.14739E+01    0.55282E+00    0.55790E+00    0.59087E+00    0.58497E+00
     45     46    0.14739E+01    0.14699E+01    0.15087E+01    0.15119E+01    0.58497E+00    0.59087E+00    0.61350E+00    0.60700E+00
     46     47    0.15119E+01    0.15087E+01    0.15489E+01    0.15511E+01    0.60700E+00    0.61350E+00    0.62987E+00    0.62300E+00
     47     48    0.15511E+01    0.15489E+01    0.15959E+01    0.15970E+01    0.62300E+00    0.62987E+00    0.64130E+00    0.63430E+00
     48     49    0.15970E+01    0.15959E+01    0.16530E+01    0.16528E+01    0.63430E+00    0.64130E+00    0.64528E+00    0.63850E+00
     49     50    0.16528E+01    0.16530E+01    0.17203E+01    0.17190E+01    0.63850E+00    0.64528E+00    0.63738E+00    0.63121E+00
     50     51    0.17190E+01    0.17203E+01    0.17943E+01    0.17921E+01    0.63121E+00    0.63738E+00    0.61379E+00    0.60849E+00
     51     52    0.17921E+01    0.17943E+01    0.18688E+01    0.18660E+01    0.60849E+00    0.61379E+00    0.57383E+00    0.56946E+00
     52     53    0.18660E+01    0.18688E+01    0.19385E+01    0.19353E+01    0.56946E+00    0.57383E+00    0.51956E+00    0.51604E+00
     53     54    0.19353E+01    0.19385E+01    0.20001E+01    0.19967E+01    0.51604E+00    0.51956E+00    0.45368E+00    0.45092E+00
     54     55    0.19967E+01    0.20001E+01    0.20520E+01    0.20485E+01    0.45092E+00    0.45368E+00    0.37832E+00    0.37621E+00
     55     56    0.20485E+01    0.20520E+01    0.20932E+01    0.20895E+01    0.37621E+00    0.37832E+00    0.29556E+00    0.29404E+00
     56     57    0.20895E+01    0.20932E+01    0.21223E+01    0.21186E+01    0.29404E+00    0.29556E+00    0.20868E+00    0.20771E+00
     57     58    0.21186E+01    0.21223E+01    0.21386E+01    0.21348E+01    0.20771E+00    0.20868E+00    0.12124E+00    0.12081E+00
     58     59    0.21348E+01    0.21386E+01    0.21421E+01    0.21383E+01    0.12081E+00    0.12124E+00    0.34953E-01    0.35070E-01
     59     60    0.21383E+01    0.21421E+01    0.21333E+01    0.21296E+01    0.35070E-01    0.34953E-01   -0.50425E-01   -0.49802E-01
     60     61    0.21296E+01    0.21333E+01    0.21131E+01    0.21096E+01   -0.49802E-01   -0.50425E-01   -0.13490E+00   -0.13384E+00
     61     62    0.21096E+01    0.21131E+01    0.20831E+01    0.20797E+01   -0.13384E+00   -0.13490E+00   -0.21701E+00   -0.21554E+00
     62     63    0.20797E+01    0.20831E+01    0.20451E+01    0.20417E+01   -0.21554E+00   -0.21701E+00   -0.29454E+00   -0.29265E+00
     63     64    0.20417E+01    0.20451E+01    0.20010E+01    0.19976E+01   -0.29265E+00   -0.29454E+00   -0.36542E+00   -0.36307E+00
     64     65    0.19976E+01    0.20010E+01    0.19522E+01    0.19489E+01   -0.36307E+00   -0.36542E+00   -0.42828E+00   -0.42538E+00
     65     66    0.19489E+01    0.19522E+01    0.18999E+01    0.18967E+01   -0.42538E+00   -0.42828E+00   -0.48237E+00   -0.47881E+00
     66     67    0.18967E+01    0.18999E+01    0.18453E+01    0.18422E+01   -0.47881E+00   -0.48237E+00   -0.52720E+00   -0.52288E+00
     67     68    0.18422E+01    0.18453E+01    0.17901E+01    0.17873E+01   -0.52288E+00   -0.52720E+00   -0.56216E+00   -0.55698E+00
     68     69    0.17873E+01    0.17901E+01    0.17367E+01    0.17344E+01   -0.55698E+00   -0.56216E+00   -0.58675E+00   -0.58067E+00
     69     70    0.17344E+01    0.17367E+01    0.16879E+01    0.16864E+01   -0.58067E+00   -0.58675E+00   -0.60138E+00   -0.59450E+00
     70     71    0.16864E+01    0.16879E+01    0.16460E+01    0.16454E+01   -0.59450E+00   -0.60138E+00   -0.60774E+00   -0.60027E+00
     71     72    0.16454E+01    0.16460E+01    0.16125E+01    0.16128E+01   -0.60027E+00   -0.60774E+00   -0.60847E+00   -0.60068E+00
     72     73    0.16128E+01    0.16125E+01    0.15871E+01    0.15882E+01   -0.60068E+00   -0.60847E+00   -0.60626E+00   -0.59836E+00
     73     74    0.15882E+01    0.15871E+01    0.15684E+01    0.15701E+01   -0.59836E+00   -0.60626E+00   -0.60300E+00   -0.59513E+00
     74     75    0.15701E+01    0.15684E+01    0.15553E+01    0.15573E+01   -0.59513E+00   -0.60300E+00   -0.59984E+00   -0.59203E+00
     75     76    0.15573E+01    0.15553E+01    0.15462E+01    0.15486E+01   -0.59203E+00   -0.59984E+00   -0.59723E+00   -0.58949E+00
     76     77    0.15486E+01    0.15462E+01    0.15412E+01    0.15439E+01   -0.58949E+00   -0.59723E+00   -0.59565E+00   -0.58799E+00
     77     78    0.15439E+01    0.15412E+01    0.15384E+01    0.15411E+01   -0.58799E+00   -0.59565E+00   -0.59468E+00   -0.58704E+00
     78     79    0.15411E+01    0.15384E+01    0.15359E+01    0.15387E+01   -0.58704E+00   -0.59468E+00   -0.59383E+00   -0.58619E+00
     79     80    0.15387E+01    0.15359E+01    0.15337E+01    0.15365E+01   -0.58619E+00   -0.59383E+00   -0.59304E+00   -0.58541E+00
     80     81    0.11918E+01    0.12021E+01    0.12041E+01    0.11932E+01   -0.13567E+01   -0.13546E+01   -0.13554E+01   -0.13572E+01
     81     82    0.11932E+01    0.12041E+01    0.12057E+01    0.11944E+01   -0.13572E+01   -0.13554E+01   -0.13560E+01   -0.13576E+01
     82     83    0.11944E+01    0.12057E+01    0.12071E+01    0.11955E+01   -0.13576E+01   -0.13560E+01   -0.13566E+01   -0.13580E+01
     83     84    0.11955E+01    0.12071E+01    0.12083E+01    0.11965E+01   -0.13580E+01   -0.13566E+01   -0.13571E+01   -0.13584E+01
     84     85    0.11965E+01    0.12083E+01    0.12095E+01    0.11974E+01   -0.13584E+01   -0.13571E+01   -0.13576E+01   -0.13587E+01
     85     86    0.11974E+01    0.12095E+01    0.12105E+01    0.11982E+01   -0.13587E+01   -0.13576E+01   -0.13580E+01   -0.13591E+01
