 # target background plasma written by write_bgplasma in module_bgplasma.f90
  ntargets
          124
    idx     id             ne             Te             Ti          vpara          Epara
      0      1    0.00000E+00    0.10000E+01    0.10000E+01    0.97872E+04    0.00000E+00
      1      2    0.59038E+19    0.13658E+01    0.13658E+01    0.11438E+05    0.26925E+02
      2      3    0.60713E+19    0.14021E+01    0.14021E+01    0.11589E+05    0.27814E+02
      3      4    0.62589E+19    0.14437E+01    0.14437E+01    0.11760E+05    0.28744E+02
      4      5    0.64637E+19    0.14901E+01    0.14901E+01    0.11947E+05    0.29722E+02
      5      6    0.70791E+19    0.15411E+01    0.15411E+01    0.12150E+05    0.31151E+02
      6      7    0.78265E+19    0.15963E+01    0.15963E+01    0.12366E+05    0.32741E+02
      7      8    0.86017E+19    0.16555E+01    0.16555E+01    0.12593E+05    0.34346E+02
      8      9    0.93973E+19    0.17183E+01    0.17183E+01    0.12829E+05    0.35976E+02
      9     10    0.10207E+20    0.17844E+01    0.17844E+01    0.13074E+05    0.37582E+02
     10     11    0.11025E+20    0.18534E+01    0.18534E+01    0.13324E+05    0.39123E+02
     11     12    0.11847E+20    0.19250E+01    0.19250E+01    0.13579E+05    0.40707E+02
     12     13    0.12668E+20    0.19990E+01    0.19990E+01    0.13838E+05    0.42191E+02
     13     14    0.13484E+20    0.20749E+01    0.20749E+01    0.14098E+05    0.43650E+02
     14     15    0.14293E+20    0.21525E+01    0.21525E+01    0.14359E+05    0.45049E+02
     15     16    0.15090E+20    0.22315E+01    0.22315E+01    0.14620E+05    0.46346E+02
     16     17    0.16025E+20    0.23114E+01    0.23114E+01    0.14880E+05    0.47754E+02
     17     18    0.17831E+20    0.23921E+01    0.23921E+01    0.15137E+05    0.49644E+02
     18     19    0.19590E+20    0.24732E+01    0.24732E+01    0.15392E+05    0.51201E+02
     19     20    0.22651E+20    0.25543E+01    0.25543E+01    0.15642E+05    0.53470E+02
     20     21    0.26268E+20    0.26351E+01    0.26351E+01    0.15888E+05    0.56060E+02
     21     22    0.29758E+20    0.27153E+01    0.27153E+01    0.16128E+05    0.57736E+02
     22     23    0.33114E+20    0.27946E+01    0.27946E+01    0.16361E+05    0.60228E+02
     23     24    0.38042E+20    0.28727E+01    0.28727E+01    0.16588E+05    0.62183E+02
     24     25    0.42871E+20    0.29492E+01    0.29492E+01    0.16808E+05    0.58776E+02
     25     26    0.47470E+20    0.30239E+01    0.30239E+01    0.17019E+05    0.60465E+02
     26     27    0.51831E+20    0.30963E+01    0.30963E+01    0.17222E+05    0.62970E+02
     27     28    0.54481E+20    0.31993E+01    0.31993E+01    0.17506E+05    0.63463E+02
     28     29    0.53830E+20    0.36655E+01    0.36655E+01    0.18738E+05    0.65098E+02
     29     30    0.49034E+20    0.44640E+01    0.44640E+01    0.20679E+05    0.68476E+02
     30     31    0.44428E+20    0.54375E+01    0.54375E+01    0.22822E+05    0.66982E+02
     31     32    0.38879E+20    0.77030E+01    0.77030E+01    0.27164E+05    0.79295E+02
     32     33    0.34586E+20    0.10648E+02    0.10648E+02    0.31937E+05    0.10773E+03
     33     34    0.33822E+20    0.13721E+02    0.13721E+02    0.36254E+05    0.12812E+03
     34     35    0.35756E+20    0.15879E+02    0.15879E+02    0.39001E+05    0.14110E+03
     35     36    0.37385E+20    0.17782E+02    0.17782E+02    0.41271E+05    0.13696E+03
     36     37    0.33618E+20    0.19413E+02    0.19413E+02    0.43123E+05    0.15386E+03
     37     38    0.31960E+20    0.18488E+02    0.18488E+02    0.42083E+05    0.11706E+03
     38     39    0.30313E+20    0.16408E+02    0.16408E+02    0.39645E+05    0.12270E+03
